Date,Forecast,Lower_CI,Upper_CI,Ticker,Forecast_Horizon,Generated_At,Current_Price,Price_Change,Price_Change_Pct
2025-02-27 00:00:00-05:00,174.95838136503846,169.776622621204,180.1401401088729,GOOG,7,2025-09-28 12:24:55,247.17999267578125,-72.22161131074279,-29.218226980641493
2025-02-28 00:00:00-05:00,175.866722867408,168.66770516670664,183.06574056810933,GOOG,7,2025-09-28 12:24:55,247.17999267578125,-71.31326980837326,-28.8507451741504
2025-03-01 00:00:00-05:00,176.59925840370528,167.9840130698608,185.21450373754976,GOOG,7,2025-09-28 12:24:55,247.17999267578125,-70.58073427207597,-28.554388042504176
2025-03-02 00:00:00-05:00,176.96387895977188,167.25922879026385,186.6685291292799,GOOG,7,2025-09-28 12:24:55,247.17999267578125,-70.21611371600937,-28.406875878546444
2025-03-03 00:00:00-05:00,176.88672906849993,166.28151680703758,187.4919413299623,GOOG,7,2025-09-28 12:24:55,247.17999267578125,-70.29326360728132,-28.438087907658016
2025-03-04 00:00:00-05:00,176.42377188350153,165.01415052734728,187.83339323965578,GOOG,7,2025-09-28 12:24:55,247.17999267578125,-70.75622079227972,-28.625383481214268
2025-03-05 00:00:00-05:00,175.73499275027936,163.55196249321205,187.91802300734668,GOOG,7,2025-09-28 12:24:55,247.17999267578125,-71.44499992550189,-28.904038369810216
